way_name,color,way_text,photo_link,map_link
маршрут_к1,красный,"Красный маршрут 1 ❤️

Мы предлагаем вам оригинальный маршрут по Москве, который может понравиться людям с красным цветом Яндекс.Волны

Начинаем вечер с ярких эмоций в одном из самых неординарных заведений Москвы - Московский планетарий
Здесь можно окунуться в удивительный мир звёзд и космоса. Посещение планетария — это возможность увидеть звёздное небо как можно ближе и узнать множество интересных фактов о Вселенной.
📌 Садовая-Кудринская ул., 5

После посещения планетария пройдем всего несколько минут пешком до Balzi Rossi — оригинального заведения с минималистичным дизайном, великолепной едой и загадочной атмосферой. Обязательно попробуйте чай с жасмином и мед из лесных трав
📌 Кудринская площадь, 1

Заканчиваем вечер в кафе. Идем туда не поесть, а насладиться атмосферой и взять десерт. «Tears of» - стильное и современное заведение 
📌 Большая Никитская ул., 49

Люди с красной музыкой в душе оценят этот контраст — спокойствие вместе с  энергией дня, которое позволит завершить вечер на позитивной и гармоничной ноте.

Этот маршрут — настоящий коктейль из ярких и неожиданных впечатлений для тех, кто любит динамику и необычные места.",https://disk.yandex.ru/i/KgotECU4gql-fg,"https://yandex.ru/maps?rtext=55.761392,37.583571~55.759550,37.581504~55.757769,37.588880&rtt=pd"
маршрут_к2,красный,"Красный маршрут 2 ❤️

Увлекательный маршрут по оригинальным местам на метро Кропоткинская для любителей энергичной музыки и активного образа жизни.

Начинаем прогулку со свидания с искусством в МАММ - концептуальном выставочном пространстве из семи этажей (!). Там точно можно сделать красивые фотографии, насладиться современным искусством и сменить рутинную обстановку. 
📌 ул. Остоженка, 16 (подъезд 1)

После культурного просвещения хочется чего-то простого - поесть. Идем в Yaffo - заведение с израильской кухней, недалеко от Парка Горького. Там можно заказать питу с чизбургером или кюфтой. 
📌 Крымская набережная, 10с5

Или можете заглянуть в Vаниль - ресторан с домашней, но лаконичной обстановкой: большой камин, зеркала, красивая сервировка стола
📌 ул. Остоженка, 1/9 (этаж 1)

Завершаем день в парке Музеон, расположенном на берегу реки города-героя Москвы, гуляя между богатой коллекцией скульптур 
📌 700м от метро Октябрьская

Такой маршрут точно не оставит равнодушными людей с красным цветом песен! Все места романтичны и прекрасны по-своему.",https://disk.yandex.ru/i/Hlagfwh1Rgzf6A,"https://yandex.ru/maps?rtext=55.741662,37.598789~55.744125,37.602203~55.738789,37.610523~55.733055,37.604646&rtt=pd"
маршрут_к3,красный,"Красный маршрут 3❤️

Вот очередной маршрут прогулки для любителей драйва и увлекательных приключений. Сегодня будем гулять по метро Новослободская.

Начнем день с посещения кафе Культурный код, Лучше посещать его в сезон веранд. Здесь царит европейская атмосфера. Советуем взять эспрессо-тоник и взбодриться с яркой музыкой в ушах.
📌 ул. Чаянова, 12

Далее двигаемся к депо, чтобы за время прогулки успеть проголодаться. Депо - один из главных фудмоллов Москвы, просторный и стильный, огромный выбор заведений на любой вкус, для детей есть отличная игровая «Енот и крыжовник» (на стойке информации бывают флаеры на скидку впервое посещение). Это место точно подойдет тем, кто не боится людных мест и часто бывает в компании. 
📌 Лесная ул., 20, стр. 3 (подъезд 1)

Завершаем прогулку в парке Новослободский, где можно поиграть в теннис и закончить день активно. Милый, уютный парк с интересными элементами декора.
📌 500 м от метро Савеловская",https://disk.yandex.ru/i/IJb8ved7S8JEcQ,"https://yandex.ru/maps?rtext=55.775949,37.595642~55.780214,37.592969~55.791218,37.595977&rtt=pd"
маршрут_о1,оранжевый,"Оранжевый маршрут 1 🧡

Это маршрут для тех, кто любит творчество, в особенности архитектуру. Начнем с креативного пространства и закончим погружением в современное искусство.

Выходим на станции метро Улица 1905 года. 
Отправная точка - Трехгорной мануфактура — это место, сочетающее историю и современные арт-проекты. Здесь регулярно проводятся выставки, творческие мастер-классы и ярмарки, что делает его идеальным для любителей искусства и новых идей. Прогуливаясь по территории, можно почувствовать атмосферу индустриального прошлого, переплетенного с духом современного искусства.
📌 ул. Рочдельская, 15

Затем отправляемся на обед в ресторан “Казбек”, который порадует нас атмосферной грузинской кухней. Здесь можно попробовать традиционные блюда, такие как хинкали или хачапури, и насладиться душевной обстановкой. 
📌 ул. Рочдельская, 15 (в пешей доступности от Трехгорной мануфактуры)

Завершим маршрут в Галерее Нико — галерее современного искусства. В этом уникальном пространстве представлены работы Николая Никогосяна, а также проводятся камерные концерты. Это отличное место для тех, кто ищет новые впечатления и вдохновение.
📌 Большой Тишинский переулок, 19, стр. 1

После такого маршрута у вас останется море теплых и радостных впечатлений, о которых вы будете вспоминать, включая треки вашей оранжевой Яндекс.Волны.

",https://disk.yandex.ru/i/acz6ILW2xN5hug,"https://yandex.ru/maps?rtext=55.756891,37.566216~55.754913,37.560348~55.768587,37.575674&rtt=pd"
маршрут_о2,оранжевый,"Оранжевый маршрут 2🧡

Этот маршрут создан для любителей современного искусства и необычных пространств. Включаем Яндекс.Волну и с улыбкой на лице едем до метро Дмитровская. 
Мы начинаем прогулку с Арт-кластера “Флакон”. Это творческое пространство, расположенное на месте бывшего завода, стало домом для художников, дизайнеров и креативных проектов. Здесь часто проходят выставки, ярмарки и мастер-классы, что создаёт яркую и творческую атмосферу.
📌 Адрес: ул. Большая Новодмитровская, 36

Место для трапезы предложенного маршрута: Corner Cafe & Kitchen - это ресторан японской кухни, где шеф-повар Кобаяши Кацухико готовит рамен, пельмени гедза, роллы и необычные десерты
📌 Адрес: ул. Новодмитровская, 2

Заканчиваем сегодняший день еще одним интересным местом - Лофт-проектом “Хлебозавод”. Он находится совсем рядом с “Флаконом”. Здесь можно прогуляться среди мастерских, магазинов с авторскими вещами и небольших кафе, насладиться уютной атмосферой и, возможно, найти что-то интересное на тематических ярмарках.
📌 Адрес: ул. Новодмитровская, 1

Этот маршрут прекрасно подойдёт тем, кто ценит современное искусство, и готов разделить его познание в веселой компании!",https://disk.yandex.ru/i/Z6Y66QaeTpz4vQ,"https://yandex.ru/maps?rtext=55.805073,37.585289~55.804005,37.591087~55.807086,37.584541&rtt=pd"
маршрут_о3,оранжевый,"Оранжевый маршрут 3🧡

Этот маршрут идеально подойдёт для любителей творчества и архитектуры, а все места расположены в пешей доступности друг от друга.

Начнём с Гоголевского бульвара, одной из самых живописных улиц Москвы, где можно насладиться прогулкой среди скульптур и исторических зданий. Здесь царит атмосфера уюта и спокойствия, что подарит вам ощущение тепла и гармонии.

📌 Гоголевский бульвар
Метро: Кропоткинская

После прогулки можно перекусить в ресторане Dictatura Æstetica Wine & Kitchen, уютном и атмосферном месте с демократичными ценами и домашней кухней. Здесь можно отдохнуть и попробовать блюда, вдохновлённые русской гастрономией.

📌 Гоголевский бульвар, 17
Метро: Кропоткинская

Завершим маршрут посещением Музея личных коллекций в составе Государственного музея изобразительных искусств им. А.С. Пушкина. Этот небольшой музей собрал интересные коллекции предметов искусства, подаренные частными коллекционерами.

📌 Волхонка, 10
Метро: Кропоткинская


Этот маршрут позволит вам открыть теплые и креативные места Москвы, не отдаляясь от главных культурных центров города.",https://disk.yandex.ru/i/9PI08rd1p0ms1g,"https://yandex.ru/maps?rtext=55.747860,37.600190~55.746780,37.599115~55.747408,37.606972&rtt=pd"
маршрут_ж1,жёлтый,"Желтый маршрут 1 💛

Предлагаем интересный маршрут по Москве в районе м. Павелецкой, который может понравиться людям с желтой волной в Яндекс.Музыке:

Начинаем маршрут с необычного кинотеатра в столице - Пять Звезд на Павелецкой. На входе множество красивых предметов декора: водопады, аквариум, зоны для отдыха. Смотрим новинки в кино, едим вкусный попкорн и обсуждаем увиденное с компанией близких. 
📌ул. Бахрушина, 25

Далее идем в место, где можно попробовать осень на вкус - 6am kitchen. Рекомендуем попробовать там скандинавский фильтр с безалкогольным Бейлисом, матчу токио с пюре из киви, облепиховый пуэр и шоколадный флэт с индийским какао.
📌Садовническая ул., 80

После вкусного перекуса направляемся в Ландшафтный парк все на той же станции Павелецкая. Пройтись после приема пищи - отличный выбор. Парк выглядит очень красиво, оригинальные элементы дизайна создают атмосферу, подходящую для людей любых возрастов: множество детских площадок, сцена для праздничных мероприятий и уединенные аллеи. 
📌Павелецкая площадь, 3

Люди с желтой музыкой будут в восторге после такой прогулки по Москве. Маршрут дает возможность увидеть и посетить оригинальные места, отдохнуть и качественно провести время с любимыми людьми.",https://disk.yandex.ru/i/Z-BfkoarIlT8CQ,"https://yandex.ru/maps?rtext=55.732947,37.637102~55.737489,37.641303~55.730692,37.638956&rtt=pd"
маршрут_ж2,жёлтый,"Желтый маршрут 2 💛

Увлекательный путь по местам Москвы для заряженных и позитивных ребят с желтой музыкой. Метро Курская - идеальное место для активных выходных. 

Начинаем путь с кафе MOX. Там можно попробовать любимый холодный суп детства — окрошку на квасе, переодетую в зеленый соус! Вас ждут классная музыка, вегетарианские блюда, уютный интерьер. Самое время обсудить новости и поговорить по душам с друзьями. 
📌 Нижняя Сыромятническая ул., 10, стр. 7 (этаж 2)

Далее сытые и полные сил отправляемся в Нереальное место - клуб виртуальной реальности в центре Москвы, с возможностью играть в совместные игры до 7-х человек. В клубе 65 лучших VR-игр, всех жанров и для всех возрастов. Вы точно найдете что-то по вкусу.
📌 Нижний Сусальный пер., 5, стр. 5А (подъезд 1)

Когда устанете от активности, то можете пройтись в сторону FrenchBakery SeDelice и съесть вкусный десерт. Там можете остаться передохнуть и обсудить полученные впечатления за долгий день или послушать любимую музыку.
📌 ул. Земляной Вал, 27, стр. 1

Такой маршрут точно зарядит вас на рабочую неделю и поможет почувствовать себя отдохнувшим.",https://disk.yandex.ru/i/Mbuw3wH1Tw_57Q,"https://yandex.ru/maps?rtext=55.752156,37.668994~55.760084,37.664290~55.759154,37.658175&rtt=pd"
маршрут_ж3,жёлтый,"Желтый маршрут 3💛

Маршрут для экстраординарных личностей. Он поможет продлить позитивное настроение и получить положительный опыт. 

Сегодня направляемся на метро Люблино и гуляем в одном из самых больших парков в Москве - парке Кузьминки-Люблино. Тут можно покататься на лодочках, взять на прокат ролики, велосипеды и другое (к примеру, велосипед на несколько человек). Место отлично подходит для активного отдыха и пикников. 

Предлагаем сначала пройтись по центральной аллее, а потом заглянуть в милый парк аттракционов Космик, либо зайти в музей тишины. 

Такой порядок мест поможет расслабиться, успокоиться и получить приятные эмоции. 

После спокойной части маршрута можно взять на прокат необычные виды транспорта! Советую показаться на веломобилях, особенно если они многоместные. Это точно добавит в ваш день смеха и веселья.

На выходе из парка расположено кафе Меркато - хорошее, уютное кафе с различными мастер-классами и конкурсами.",https://disk.yandex.ru/i/Cj6Uoj8C1oGjmw,"https://yandex.ru/maps/?ol=geo&text=%D0%BF%D1%80%D0%B8%D1%80%D0%BE%D0%B4%D0%BD%D0%BE-%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BF%D0%B0%D1%80%D0%BA%20%D0%9A%D1%83%D0%B7%D1%8C%D0%BC%D0%B8%D0%BD%D0%BA%D0%B8-%D0%9B%D1%8E%D0%B1%D0%BB%D0%B8%D0%BD%D0%BE&sll=37.803308,55.684097&sspn=0.041440,0.103926&si=djvcgpqg6qref1jkpm1fpmm720"
маршрут_з1,зелёный,"Зелёный маршрут 1💚

Этот маршрут для тех, кто ищет спокойствие и гармонию с природой вдали от шума города. Подходит для пикников, прогулок и расслабляющего отдыха на берегу озера.

Не забываем колонку с музыкой и едем до метро Тушинская.
Начнём с прогулки по Парку “Северное Тушино” — это просторный и зелёный парк, где можно насладиться свежим воздухом и устроить пикник. Парк подходит для прогулок с семьей, катания на велосипедах и отдыха у воды. Здесь всегда тихо и спокойно, что делает его идеальным для расслабления.
📌 ул. Тушинская, 5

После прогулки заглянем в уютное кафе Met Tea, которое находится неподалёку. Это стильное заведение с оригинальной чайной картой, в котором можно насладиться разнообразными чаями, а также лёгкими закусками и десертами.
📌 ул. Тушинская, 19

Завершим такой насыщенный день у живописного озера в парке “Северное Тушино”, где можно расслабиться на берегу или покататься на лодках. Это одно из самых красивых мест парка, особенно приятно здесь в тёплые дни.
📌 ул. Тушинская, 5

Маршрут отлично подойдет человеку, Яндекс.Волна которого окрасилась в зеленый цвет. Сочетание отдыха на природе в тихом месте и активных занятий, дает ощущение свободы, что особенно нравится любителям «зеленой» музыки.
",https://disk.yandex.ru/i/vDMh8mhYJOHyZA,"https://yandex.ru/maps?rtext=55.862105,37.451124~55.827378,37.442013~55.850689,37.455837&rtt=pd"
